verbatimLocality,species,verbatimSex,wgt,datasetname,sex,occurrence_id,eventDate,decimalLongitude,decimalLatitude
11,DS,F,,Ecological Archives E090-118-D1.,female,92,1977-08-20,31.938056000000422,-109.07930699999636
6,DM,M,39.0,Ecological Archives E090-118-D1.,male,93,1977-08-20,31.939078000000418,-109.07883599999636
18,DM,,42.0,Ecological Archives E090-118-D1.,,94,1977-08-20,31.937126000000415,-109.07863299999636
18,DM,F,43.0,Ecological Archives E090-118-D1.,female,95,1977-08-20,31.937126000000415,-109.07863299999636
23,DM,M,46.0,Ecological Archives E090-118-D1.,male,96,1977-08-20,31.93676300000041,-109.07783799999636
12,DM,M,41.0,Ecological Archives E090-118-D1.,male,97,1977-08-20,31.938203000000424,-109.07851899999636
18,DM,M,41.0,Ecological Archives E090-118-D1.,male,98,1977-08-20,31.937126000000415,-109.07863299999636
5,DM,M,40.0,Ecological Archives E090-118-D1.,male,99,1977-08-20,31.93897000000045,-109.07960199999637
11,DM,M,45.0,Ecological Archives E090-118-D1.,male,100,1977-08-20,31.938056000000422,-109.07930699999636
5,DS,F,,Ecological Archives E090-118-D1.,female,101,1977-08-20,31.93897000000045,-109.07960199999637
5,DM,F,46.0,Ecological Archives E090-118-D1.,female,102,1977-08-20,31.93897000000045,-109.07960199999637
23,DM,F,40.0,Ecological Archives E090-118-D1.,female,103,1977-08-20,31.93676300000041,-109.07783799999636
18,DM,F,30.0,Ecological Archives E090-118-D1.,female,104,1977-08-20,31.937126000000415,-109.07863299999636
11,DS,M,,Ecological Archives E090-118-D1.,male,105,1977-08-20,31.938056000000422,-109.07930699999636
19,DM,M,39.0,Ecological Archives E090-118-D1.,male,106,1977-08-20,31.937438000000434,-109.07791199999635
12,,,,Ecological Archives E090-118-D1.,,107,1977-08-20,31.938203000000424,-109.07851899999636
18,,,,Ecological Archives E090-118-D1.,,108,1977-08-20,31.937126000000415,-109.07863299999636
11,PP,M,,Ecological Archives E090-118-D1.,male,109,1977-08-20,31.938056000000422,-109.07930699999636
6,DM,M,34.0,Ecological Archives E090-118-D1.,male,110,1977-08-20,31.939078000000418,-109.07883599999636
10,DS,,,Ecological Archives E090-118-D1.,,111,1977-08-20,31.938017000000432,-109.08009099999637
11,DM,F,42.0,Ecological Archives E090-118-D1.,female,112,1977-08-20,31.938056000000422,-109.07930699999636
23,DM,M,42.0,Ecological Archives E090-118-D1.,male,113,1977-08-20,31.93676300000041,-109.07783799999636
5,PF,F,8.0,Ecological Archives E090-118-D1.,female,114,1977-08-20,31.93897000000045,-109.07960199999637
15,DM,F,,Ecological Archives E090-118-D1.,female,115,1977-08-21,31.937059000000463,-109.08103599999639
21,DM,M,,Ecological Archives E090-118-D1.,male,116,1977-08-21,31.93644800000045,-109.07939799999636
13,DM,F,31.0,Ecological Archives E090-118-D1.,female,117,1977-08-21,31.937028000000442,-109.0826129999964
21,OX,F,,Ecological Archives E090-118-D1.,female,118,1977-08-21,31.93644800000045,-109.07939799999636
17,DM,M,,Ecological Archives E090-118-D1.,male,119,1977-08-21,31.93711700000044,-109.07941499999637
20,DM,M,,Ecological Archives E090-118-D1.,male,120,1977-08-21,31.936334000000446,-109.08019099999639
20,DM,M,,Ecological Archives E090-118-D1.,male,121,1977-08-21,31.936334000000446,-109.08019099999639
15,,,,Ecological Archives E090-118-D1.,,122,1977-08-21,31.937059000000463,-109.08103599999639
22,DM,F,,Ecological Archives E090-118-D1.,female,123,1977-08-21,31.93644100000043,-109.07860199999637
17,DM,M,,Ecological Archives E090-118-D1.,male,124,1977-08-21,31.93711700000044,-109.07941499999637
14,DM,M,,Ecological Archives E090-118-D1.,male,125,1977-08-21,31.937054000000455,-109.0818269999964
22,DM,M,,Ecological Archives E090-118-D1.,male,126,1977-08-21,31.93644100000043,-109.07860199999637
20,DM,F,,Ecological Archives E090-118-D1.,female,127,1977-08-21,31.936334000000446,-109.08019099999639
14,DM,M,,Ecological Archives E090-118-D1.,male,128,1977-08-21,31.937054000000455,-109.0818269999964
15,DM,M,,Ecological Archives E090-118-D1.,male,129,1977-08-21,31.937059000000463,-109.08103599999639
14,DM,F,,Ecological Archives E090-118-D1.,female,130,1977-08-21,31.937054000000455,-109.0818269999964
16,DM,F,,Ecological Archives E090-118-D1.,female,131,1977-08-21,31.937094000000414,-109.08024399999637
22,DM,M,,Ecological Archives E090-118-D1.,male,132,1977-08-21,31.93644100000043,-109.07860199999637
22,DM,F,,Ecological Archives E090-118-D1.,female,133,1977-08-21,31.93644100000043,-109.07860199999637
15,DM,M,,Ecological Archives E090-118-D1.,male,134,1977-08-21,31.937059000000463,-109.08103599999639
17,DS,F,,Ecological Archives E090-118-D1.,female,135,1977-08-21,31.93711700000044,-109.07941499999637
15,DM,F,,Ecological Archives E090-118-D1.,female,136,1977-08-21,31.937059000000463,-109.08103599999639
13,PF,F,,Ecological Archives E090-118-D1.,female,137,1977-08-21,31.937028000000442,-109.0826129999964
20,DM,F,,Ecological Archives E090-118-D1.,female,138,1977-08-21,31.936334000000446,-109.08019099999639
22,DM,M,,Ecological Archives E090-118-D1.,male,139,1977-08-21,31.93644100000043,-109.07860199999637
14,PF,M,,Ecological Archives E090-118-D1.,male,140,1977-08-21,31.937054000000455,-109.0818269999964
20,DM,M,,Ecological Archives E090-118-D1.,male,141,1977-08-21,31.936334000000446,-109.08019099999639
16,DM,M,,Ecological Archives E090-118-D1.,male,142,1977-08-21,31.937094000000414,-109.08024399999637
17,DM,F,,Ecological Archives E090-118-D1.,female,143,1977-08-21,31.93711700000044,-109.07941499999637
15,DM,M,,Ecological Archives E090-118-D1.,male,144,1977-08-21,31.937059000000463,-109.08103599999639
15,DS,M,,Ecological Archives E090-118-D1.,male,145,1977-08-21,31.937059000000463,-109.08103599999639
13,DM,F,,Ecological Archives E090-118-D1.,female,146,1977-08-21,31.937028000000442,-109.0826129999964
13,DM,F,40.0,Ecological Archives E090-118-D1.,female,147,1977-08-21,31.937028000000442,-109.0826129999964
13,DM,M,,Ecological Archives E090-118-D1.,male,148,1977-08-21,31.937028000000442,-109.0826129999964
14,DM,M,,Ecological Archives E090-118-D1.,male,149,1977-08-21,31.937054000000455,-109.0818269999964
20,DS,M,,Ecological Archives E090-118-D1.,male,150,1977-08-21,31.936334000000446,-109.08019099999639
21,DM,M,,Ecological Archives E090-118-D1.,male,151,1977-08-21,31.93644800000045,-109.07939799999636
13,DM,M,,Ecological Archives E090-118-D1.,male,152,1977-08-21,31.937028000000442,-109.0826129999964
14,DM,M,,Ecological Archives E090-118-D1.,male,153,1977-08-21,31.937054000000455,-109.0818269999964
16,DS,F,,Ecological Archives E090-118-D1.,female,154,1977-08-21,31.937094000000414,-109.08024399999637
20,DS,F,,Ecological Archives E090-118-D1.,female,155,1977-08-21,31.936334000000446,-109.08019099999639
20,DS,,,Ecological Archives E090-118-D1.,,156,1977-08-21,31.936334000000446,-109.08019099999639
21,DM,M,,Ecological Archives E090-118-D1.,male,157,1977-08-21,31.93644800000045,-109.07939799999636
20,DM,M,37.0,Ecological Archives E090-118-D1.,male,158,1977-09-11,31.936334000000446,-109.08019099999639
22,DM,M,48.0,Ecological Archives E090-118-D1.,male,159,1977-09-11,31.93644100000043,-109.07860199999637
5,DS,M,,Ecological Archives E090-118-D1.,male,160,1977-09-11,31.93897000000045,-109.07960199999637
21,DM,M,,Ecological Archives E090-118-D1.,male,161,1977-09-11,31.93644800000045,-109.07939799999636
5,DM,M,42.0,Ecological Archives E090-118-D1.,male,162,1977-09-11,31.93897000000045,-109.07960199999637
6,DM,F,45.0,Ecological Archives E090-118-D1.,female,163,1977-09-11,31.939078000000418,-109.07883599999636
12,PP,F,16.0,Ecological Archives E090-118-D1.,female,164,1977-09-11,31.938203000000424,-109.07851899999636
22,DM,F,36.0,Ecological Archives E090-118-D1.,female,165,1977-09-11,31.93644100000043,-109.07860199999637
19,DS,F,,Ecological Archives E090-118-D1.,female,166,1977-09-11,31.937438000000434,-109.07791199999635
21,OX,M,,Ecological Archives E090-118-D1.,male,167,1977-09-11,31.93644800000045,-109.07939799999636
6,DM,M,42.0,Ecological Archives E090-118-D1.,male,168,1977-09-11,31.939078000000418,-109.07883599999636
12,DM,M,44.0,Ecological Archives E090-118-D1.,male,169,1977-09-11,31.938203000000424,-109.07851899999636
5,DM,M,,Ecological Archives E090-118-D1.,male,170,1977-09-11,31.93897000000045,-109.07960199999637
20,DM,F,41.0,Ecological Archives E090-118-D1.,female,171,1977-09-11,31.936334000000446,-109.08019099999639
12,,,,Ecological Archives E090-118-D1.,,172,1977-09-11,31.938203000000424,-109.07851899999636
22,PF,F,8.0,Ecological Archives E090-118-D1.,female,173,1977-09-11,31.93644100000043,-109.07860199999637
12,DM,F,40.0,Ecological Archives E090-118-D1.,female,174,1977-09-11,31.938203000000424,-109.07851899999636
12,DM,M,34.0,Ecological Archives E090-118-D1.,male,175,1977-09-11,31.938203000000424,-109.07851899999636
19,DM,M,40.0,Ecological Archives E090-118-D1.,male,176,1977-09-11,31.937438000000434,-109.07791199999635
12,DS,M,,Ecological Archives E090-118-D1.,male,177,1977-09-11,31.938203000000424,-109.07851899999636
5,OX,F,20.0,Ecological Archives E090-118-D1.,female,178,1977-09-11,31.93897000000045,-109.07960199999637
18,DM,M,44.0,Ecological Archives E090-118-D1.,male,179,1977-09-11,31.937126000000415,-109.07863299999636
12,DM,M,44.0,Ecological Archives E090-118-D1.,male,180,1977-09-11,31.938203000000424,-109.07851899999636
6,DM,M,36.0,Ecological Archives E090-118-D1.,male,181,1977-09-11,31.939078000000418,-109.07883599999636
20,DM,M,33.0,Ecological Archives E090-118-D1.,male,182,1977-09-11,31.936334000000446,-109.08019099999639
21,DS,M,,Ecological Archives E090-118-D1.,male,183,1977-09-11,31.93644800000045,-109.07939799999636
5,DM,F,46.0,Ecological Archives E090-118-D1.,female,184,1977-09-11,31.93897000000045,-109.07960199999637
20,DS,M,,Ecological Archives E090-118-D1.,male,185,1977-09-11,31.936334000000446,-109.08019099999639
12,OX,F,,Ecological Archives E090-118-D1.,female,186,1977-09-11,31.938203000000424,-109.07851899999636
19,DM,F,35.0,Ecological Archives E090-118-D1.,female,187,1977-09-11,31.937438000000434,-109.07791199999635
17,DM,M,46.0,Ecological Archives E090-118-D1.,male,188,1977-09-12,31.93711700000044,-109.07941499999637
14,DS,F,,Ecological Archives E090-118-D1.,female,189,1977-09-12,31.937054000000455,-109.0818269999964
17,DM,F,37.0,Ecological Archives E090-118-D1.,female,190,1977-09-12,31.93711700000044,-109.07941499999637
7,DM,M,34.0,Ecological Archives E090-118-D1.,male,191,1977-09-12,31.938113000000417,-109.0828159999964
17,DS,M,,Ecological Archives E090-118-D1.,male,192,1977-09-12,31.93711700000044,-109.07941499999637
4,DM,F,45.0,Ecological Archives E090-118-D1.,female,193,1977-09-12,31.93889400000041,-109.0804089999964
7,PE,,,Ecological Archives E090-118-D1.,,194,1977-09-12,31.938113000000417,-109.0828159999964
11,,,,Ecological Archives E090-118-D1.,,195,1977-09-12,31.938056000000422,-109.07930699999636
4,DS,M,,Ecological Archives E090-118-D1.,male,196,1977-09-12,31.93889400000041,-109.0804089999964
7,PF,F,7.0,Ecological Archives E090-118-D1.,female,197,1977-09-12,31.938113000000417,-109.0828159999964
14,DM,M,51.0,Ecological Archives E090-118-D1.,male,198,1977-09-12,31.937054000000455,-109.0818269999964
4,DM,M,39.0,Ecological Archives E090-118-D1.,male,199,1977-09-12,31.93889400000041,-109.0804089999964
11,DM,M,29.0,Ecological Archives E090-118-D1.,male,200,1977-09-12,31.938056000000422,-109.07930699999636
17,DS,F,,Ecological Archives E090-118-D1.,female,201,1977-09-12,31.93711700000044,-109.07941499999637
10,DS,M,,Ecological Archives E090-118-D1.,male,202,1977-09-12,31.938017000000432,-109.08009099999637
17,DM,F,48.0,Ecological Archives E090-118-D1.,female,203,1977-09-12,31.93711700000044,-109.07941499999637
11,DM,M,46.0,Ecological Archives E090-118-D1.,male,204,1977-09-12,31.938056000000422,-109.07930699999636
16,DM,F,41.0,Ecological Archives E090-118-D1.,female,205,1977-09-12,31.937094000000414,-109.08024399999637
16,DS,M,,Ecological Archives E090-118-D1.,male,206,1977-09-12,31.937094000000414,-109.08024399999637
23,DS,F,,Ecological Archives E090-118-D1.,female,207,1977-09-12,31.93676300000041,-109.07783799999636
16,DS,F,,Ecological Archives E090-118-D1.,female,208,1977-09-12,31.937094000000414,-109.08024399999637
14,DM,M,45.0,Ecological Archives E090-118-D1.,male,209,1977-09-12,31.937054000000455,-109.0818269999964
17,DM,F,42.0,Ecological Archives E090-118-D1.,female,210,1977-09-12,31.93711700000044,-109.07941499999637
11,DM,F,53.0,Ecological Archives E090-118-D1.,female,211,1977-09-12,31.938056000000422,-109.07930699999636
4,DS,F,,Ecological Archives E090-118-D1.,female,212,1977-09-12,31.93889400000041,-109.0804089999964
16,PF,,,Ecological Archives E090-118-D1.,,213,1977-09-12,31.937094000000414,-109.08024399999637
14,DM,F,49.0,Ecological Archives E090-118-D1.,female,214,1977-09-12,31.937054000000455,-109.0818269999964
17,,,,Ecological Archives E090-118-D1.,,215,1977-09-12,31.93711700000044,-109.07941499999637
14,DM,F,46.0,Ecological Archives E090-118-D1.,female,216,1977-09-12,31.937054000000455,-109.0818269999964
4,PF,F,9.0,Ecological Archives E090-118-D1.,female,217,1977-09-12,31.93889400000041,-109.0804089999964
3,PP,F,15.0,Ecological Archives E090-118-D1.,female,218,1977-09-13,31.938896000000383,-109.0812079999964
1,PF,M,4.0,Ecological Archives E090-118-D1.,male,219,1977-09-13,31.938851000000383,-109.08282899999641
13,DM,M,48.0,Ecological Archives E090-118-D1.,male,220,1977-09-13,31.937028000000442,-109.0826129999964
2,DS,M,,Ecological Archives E090-118-D1.,male,221,1977-09-13,31.938887000000367,-109.0819749999964
3,DM,,,Ecological Archives E090-118-D1.,,222,1977-09-13,31.938896000000383,-109.0812079999964
1,DS,M,,Ecological Archives E090-118-D1.,male,223,1977-09-13,31.938851000000383,-109.08282899999641
8,DS,F,,Ecological Archives E090-118-D1.,female,224,1977-09-13,31.93788400000041,-109.08167999999641
2,,,,Ecological Archives E090-118-D1.,,225,1977-09-13,31.938887000000367,-109.0819749999964
15,DM,,,Ecological Archives E090-118-D1.,,226,1977-09-13,31.937059000000463,-109.08103599999639
2,DM,M,51.0,Ecological Archives E090-118-D1.,male,227,1977-09-13,31.938887000000367,-109.0819749999964
15,DM,,,Ecological Archives E090-118-D1.,,228,1977-09-13,31.937059000000463,-109.08103599999639
9,DM,M,50.0,Ecological Archives E090-118-D1.,male,229,1977-09-13,31.93785900000038,-109.08090299999638
13,DM,M,44.0,Ecological Archives E090-118-D1.,male,230,1977-09-13,31.937028000000442,-109.0826129999964
15,DM,,,Ecological Archives E090-118-D1.,,231,1977-09-13,31.937059000000463,-109.08103599999639
15,DS,,,Ecological Archives E090-118-D1.,,232,1977-09-13,31.937059000000463,-109.08103599999639
9,DS,M,,Ecological Archives E090-118-D1.,male,233,1977-09-13,31.93785900000038,-109.08090299999638
2,DM,M,44.0,Ecological Archives E090-118-D1.,male,234,1977-09-13,31.938887000000367,-109.0819749999964
9,DM,M,45.0,Ecological Archives E090-118-D1.,male,235,1977-09-13,31.93785900000038,-109.08090299999638
13,DM,F,45.0,Ecological Archives E090-118-D1.,female,236,1977-09-13,31.937028000000442,-109.0826129999964
9,DS,F,,Ecological Archives E090-118-D1.,female,237,1977-09-13,31.93785900000038,-109.08090299999638
9,DS,F,,Ecological Archives E090-118-D1.,female,238,1977-09-13,31.93785900000038,-109.08090299999638
2,PE,M,19.0,Ecological Archives E090-118-D1.,male,239,1977-09-13,31.938887000000367,-109.0819749999964
1,DS,M,,Ecological Archives E090-118-D1.,male,240,1977-09-13,31.938851000000383,-109.08282899999641
9,DS,F,,Ecological Archives E090-118-D1.,female,241,1977-09-13,31.93785900000038,-109.08090299999638
3,DS,,,Ecological Archives E090-118-D1.,,242,1977-09-13,31.938896000000383,-109.0812079999964
2,OX,M,22.0,Ecological Archives E090-118-D1.,male,243,1977-09-13,31.938887000000367,-109.0819749999964
6,DM,F,44.0,Ecological Archives E090-118-D1.,female,244,1977-10-16,31.939078000000418,-109.07883599999636
22,DM,F,42.0,Ecological Archives E090-118-D1.,female,245,1977-10-16,31.93644100000043,-109.07860199999637
2,DM,M,39.0,Ecological Archives E090-118-D1.,male,246,1977-10-16,31.938887000000367,-109.0819749999964
13,DM,M,47.0,Ecological Archives E090-118-D1.,male,247,1977-10-16,31.937028000000442,-109.0826129999964
2,DS,M,,Ecological Archives E090-118-D1.,male,248,1977-10-16,31.938887000000367,-109.0819749999964
22,OT,M,21.0,Ecological Archives E090-118-D1.,male,249,1977-10-16,31.93644100000043,-109.07860199999637
13,DM,M,42.0,Ecological Archives E090-118-D1.,male,250,1977-10-16,31.937028000000442,-109.0826129999964
18,DS,F,,Ecological Archives E090-118-D1.,female,251,1977-10-16,31.937126000000415,-109.07863299999636
2,DM,M,49.0,Ecological Archives E090-118-D1.,male,252,1977-10-16,31.938887000000367,-109.0819749999964
6,DS,F,,Ecological Archives E090-118-D1.,female,253,1977-10-16,31.939078000000418,-109.07883599999636
20,DM,M,39.0,Ecological Archives E090-118-D1.,male,254,1977-10-16,31.936334000000446,-109.08019099999639
20,DM,F,43.0,Ecological Archives E090-118-D1.,female,255,1977-10-16,31.936334000000446,-109.08019099999639
18,DM,M,50.0,Ecological Archives E090-118-D1.,male,256,1977-10-16,31.937126000000415,-109.07863299999636
6,DM,M,41.0,Ecological Archives E090-118-D1.,male,257,1977-10-16,31.939078000000418,-109.07883599999636
2,DM,M,47.0,Ecological Archives E090-118-D1.,male,258,1977-10-16,31.938887000000367,-109.0819749999964
18,DM,F,37.0,Ecological Archives E090-118-D1.,female,259,1977-10-16,31.937126000000415,-109.07863299999636
2,DM,M,41.0,Ecological Archives E090-118-D1.,male,260,1977-10-16,31.938887000000367,-109.0819749999964
22,DM,F,36.0,Ecological Archives E090-118-D1.,female,261,1977-10-16,31.93644100000043,-109.07860199999637
6,DM,M,45.0,Ecological Archives E090-118-D1.,male,262,1977-10-16,31.939078000000418,-109.07883599999636
